A,B,C,D,E
VIA,FILZI FABIO,9,1190,2
VIA,GRIGNA,22,7239,8
VIA,INGANNI ANGELO,21,6672,6
VIA,LEPETIT ROBERTO,31,2096,2
CSO,LODI,107,4068,4
VIA,SCHERILLO MICHELE,4,1569,9
CSO,BUENOS AIRES,33,2129,3
CSO,DI PORTA VITTORIA,32,3016,1
GLL,BORELLA GIUSEPPE,3,646,1
VIA,BIANCHI MOSE',103,6385,7
VIA,INGANNI ANGELO,9,6672,6
VIA,MILLY MIGNONE CARLA,5,6871,7
VIA,MONTE SAN GENESIO,20,1299,9
VIA,TITO LIVIO,2,4086,4
VIA,VAL MAIRA,4,1098,9
VIA,VARESINA,145,7290,8
VIA,WATT GIACOMO,1,5292,6
VIA,DEI PANIGAROLA,2,4284,4
VIA,MODICA,1,5306,6
FOR,BUONAPARTE,63,711,1
VIA,INGEGNOLI FRANCESCO,2,2559,3
VLE,UMBRIA,61,3145,4
VIA,MANARA LUCIANO,1,3054,1
PLE,DI PORTA LODOVICA,5,4039,5
VIA,MENABREA LUIGI FEDERICO,26,1322,9
VIA,ISIMBARDI INNOCENZO,29,5332,5
CSO,BUENOS AIRES,20,2129,3
VIA,DOLCI CARLO,16,6555,7
VIA,PADOVA,199,2275,2
VIA,PLINIO CAIO SECONDO,33,2144,3
VIA,CAGLIERO GIOVANNI,7,1407,2
VIA,MERAVIGLI,18,614,1
VIA,CHIOGGIA,7,2317,2
VIA,DEI BIANCOSPINI,1,6711,6
VIA,DELLA FERRERA,18,5451,6
LGO,TREVES CLAUDIO,2,1026,1
PLE,TRIPOLI,9,6130,6
VIA,RICCIARELLI DANIELE,45,6553,7
VIA,DELL' ASSUNTA,8,4274,5
VIA,UGOLINI GIUSEPPE,20,1425,9
VIA,PAPI LAZZARO,18,4071,4
VIA,STRAMBIO GAETANO,29,3168,3
VLE,PICENO,8,3114,4
VIA,CARABELLI RODOLFO,3,4096,4
VIA,RUBENS PIETRO,22,6597,7
CSO,EUROPA,14,300,1
VIA,BOTTICELLI SANDRO,34,3203,3
VIA,VERGA ANDREA,22,6200,7
PZA,VIRGILIO,4,6160,1
LGO,CAMUS ALBERTO,1,6861,8
VIA,FRIULI,69,3199,4
VIA,WILDT ADOLFO,14,2554,3
PLE,ISTRIA,2,1347,2
VIA,RISMONDO FRANCESCO,1,6756,7
CSO,CONCORDIA,6,3116,4
VIA,DE CRISTOFORIS CARLO,12,1120,9
VIA,CELIO,2,6623,7
VIA,FRA' GALGARIO,4,6607,7
VIA,UGONI CAMILLO,18,1282,9
VLE,BODIO LUIGI,9,1237,9
VIA,MORA GIAN GIACOMO,9,594,1
VIA,BIONDELLI BERNARDINO,1,4236,5
VIA,DOLCI CARLO,16,6555,7
VIA,HAJECH CAMILLO,1,3091,4
PZA,WAGNER RICCARDO,6,6247,7
VIA,GIULINI GIORGIO,2,613,1
VIA,PUSIANO,6,2397,3
VIA,FARINI CARLO,72,1114,9
PLE,CADORNA LUIGI,9,601,1
VIA,IMBONATI CARLO,73,1311,9
ALZ,NAVIGLIO PAVESE,6,5161,6
ALZ,NAVIGLIO GRANDE,62,5144,6
PLE,BAIAMONTI ANTONIO,3,7235,8
ALZ,NAVIGLIO PAVESE,114,5161,5
VLE,CORSICA,45,3262,4
VIA,MAGNASCO ALESSANDRO,1,6546,7
VIA,GULLI TOMMASO,5,6634,7
VIA,PEDRONI LISIADE,1,1474,9
VLE,CERTOSA,89,7174,8
VLE,UMBRIA,118,3145,4
VIA,VERITA' DON GIOVANNI,19,1469,9
VIA,MONTEGANI LODOVICO,2,5330,5
VIA,GIAMBELLINO,9,5136,6
VIA,MORGAGNI GIOVANNI BATTISTA,37,2158,3
VLE,MONZA,32,2274,2
VIA,PARACELSO FILIPPO,1,2168,3
VIA,ARESE FRANCESCO,16,1186,9
VIA,AUSONIO,23,5093,1
VIA,PALMIERI NICOLA,56,5323,5
VIA,PAULUCCI DI CALBOLI FULCIERI,4,1590,9
VLE,MONTE NERO,42,3062,4
VIA,MONTI VINCENZO,51,6155,1
VIA,S. GIOV. SUL MURO,13,609,1
VIA,MASOLINO DA PANICALE,4,7264,8
VIA,CICERI VISCONTI LAURA,16,3220,4
VIA,TRIVULZIO ANTONIO TOLOMEO,14,6277,7
VIA,PESTALOZZI GIOVANNI ENRICO,1,5294,6
PZA,PO',10,6234,7
VIA,REMBRANDT,9,6618,7
VIA,SANTA SOFIA,21,408,1
VIA,GULLI TOMMASO,36,6634,7
PLE,SIENA,18,6616,7
VIA,SILVA GUGLIELMO,49,6400,8
VLE,UNGHERIA,10,3357,4
VIA,LEONCAVALLO RUGGERO,26,2389,3
VIA,LOMAZZO PAOLO,29,7079,8
VLE,BODIO LUIGI,18,1237,9
VIA,BERGOGNONE AMBROGIO DA FOSSANO,31,5130,6
VIA,CAVIGLIA ENRICO,3,4198,4
VIA,CADORE,35,3077,4
VLE,BIANCA MARIA,2,3050,1
PZA,SANT' AGOSTINO,2,5091,1
VIA,SANTA SOFIA,6,408,1
VIA,CESARIANO CESARE,6,7113,1
VIA,SETTALA LODOVICO,10,2111,3
VIA,MARTIGNONI ADELE,1,1362,2
VIA,ANGERA,3,1395,2
VIA,DELLE FORZE ARMATE,246,6643,7
PZA,VENTIQUATTRO MAGGIO,12,5200,5
VIA,SOLARI ANDREA,3,5111,6
CSO,ITALIA,6,526,1
VIA,TARTINI GIUSEPPE,37,1501,9
CSO,SAN GOTTARDO,18,5203,5
VIA,FERRUCCI FRANCESCO,11,7150,8
PZA,MEDA FILIPPO,3,211,1
FOR,BUONAPARTE,76,711,1
VIA,CERNUSCHI ENRICO,1,3051,1
VIA,MERLO CARLO GIUSEPPE,1,329,1
CSO,VENEZIA,37,238,1
VIA,ROSELLINI IPPOLITO,5,1158,9
VIA,MONTE ROSA,20,6388,8
VIA,GALLARATE,105,7420,8
PLE,CHIESA DAMIANO,11,7164,8
VIA,GIOVANNI DA PROCIDA,26,7151,8
VIA,ILLIRICO,8,3245,3
VIA,MALPIGHI MARCELLO,8,2182,3
VIA,COPERNICO NICOLO',51,1204,2
VIA,PALMANOVA,91,2390,2
CSO,VENEZIA,45,238,1
CSO,VENTIDUE MARZO,18,3074,4
GLL,PATTARI,2,296,1
VIA,SCIESA AMATORE,15,3072,4
PZA,BONOMELLI GEREMIA,4,4150,4
VLE,ISONZO,28,4211,5
VIA,BERGAMO,2,3189,4
RIP,DI PTA TICINESE,43,5150,6
PZA,VENTIQUATTRO MAGGIO,4,5200,5
VIA,CORRENTI CESARE,5,555,1
CSO,BUENOS AIRES,66,2129,3
VIA,BORGOGNA,4,301,1
VIA,TORRICELLI EVANGELISTA,19,5240,5
VLE,DELL' INNOVAZIONE,11,1731,9
PZA,BAZZI GIOVANNI ANTONIO,2,6102,6
VIA,SAN MAURILIO,20,563,1
VIA,PELIZZA DA VOLPEDO,26,6391,7
VIA,DANTE ALIGHIERI,15,612,1
VIA,DE AMICIS EDMONDO,61,574,1
VIA,RIPAMONTI GIUSEPPE,227,4066,5
VIA,PIERO DELLA FRANCESCA,51,7188,8
VIA,DEL BOLLO,2,568,1
VIA,CONTE ROSSO,27,2667,3
VIA,PISACANE CARLO,6,2188,3
CSO,GENOVA,27,5164,1
CSO,ITALIA,42,526,1
VIA,PISTRUCCI SCIPIONE,25,3215,4
VIA,PROCACCINI GIULIO CESARE,69,7204,8
VIA,BOIARDO MATTEO MARIA,35,2323,2
VIA,DE AMICIS EDMONDO,22,574,1
PZA,QUATTRO NOVEMBRE,4,1199,2
CSO,MATTEOTTI GIACOMO,11,218,1
VIA,PETRELLA ERRICO,4,2137,3
VIA,ALBANI FRANCESCO,57,6399,8
VIA,FARUFFINI FEDERICO,7,6286,7
VIA,LODOVICO IL MORO,59,5290,6
VIA,CORNALIA EMILIO,24,1182,9
VLE,STELVIO,52,1227,9
CSO,DI PORTA ROMANA,116,402,1
CSO,VENEZIA,8,238,1
VIA,GOLDONI CARLO,21,3183,3
VIA,SALVINI TOMMASO,4,2175,1
VIA,MASCHERONI LORENZO,16,6183,1
VIA,TRAIANO MARCO ULPIO,11,7157,8
VIA,VESPRI SICILIANI,5,5137,6
VIA,LOMAZZO PAOLO,10,7079,8
VIA,PORPORA NICOLA ANTONIO,7,2229,3
VLE,VITTORIO VENETO,22,2107,2
VIA,F.LLI ZANZOTTERA,3,6733,7
VIA,LORENTEGGIO,57,5132,6
VIA,LOSANNA,15,7190,8
VIA,PALEOCAPA PIETRO,1,706,1
CSO,MAGENTA,69,604,1
VIA,LEOPARDI GIACOMO,25,6156,1
VIA,DELLA TORRE,34,2322,2
VIA,DEL TORCHIO,7,556,1
VIA,MARSALA,2,1035,1
VIA,ALBERTINELLI MARIOTTO,2,6561,7
VIA,PASSERONI GIAN CARLO,1,4065,5
CSO,SEMPIONE,7,7137,1
VIA,MERCANTI,21,598,1
CSO,VENTIDUE MARZO,49,3074,4
VIA,CESARE DA SESTO,22,5101,1
VIA,NOVARA,38,6624,7
VIA,ARMENIA,1,7172,8
FOR,BUONAPARTE,57,711,1
VIA,MAFFEI ANDREA,10,3191,4
VIA,PADOVA,95,2275,2
VIA,PLANA GIOVANNI ANTONIO,30,7177,8
VIA,COMASINA,81,1573,9
VIA,MONTI VINCENZO,29,6155,1
VLE,LUCANIA,33,4173,4
CSO,COMO,9,1111,9
PLE,PIOLA GABRIO,12,2216,3
VIA,SAN MARCO,14,1036,1
VIA,ANTONINI GIACOMO,58,4250,5
VIA,ASELLI GASPARE,5,3167,3
VIA,TURRONI GEROLAMO,2,3099,4
VLE,TOSCANA,17,4210,5
VIA,URBANO III,2,588,1
VIA,SARPI FRA' PAOLO,60,7210,8
CSO,ITALIA,11,526,1
VIA,SANTA MARGHERITA,14,108,1
VIA,BALILLA,30,5207,5
VIA,CERVA,1,314,1
VIA,STATUTO,21,1029,1
VIA,BERGOGNONE AMBROGIO DA FOSSANO,47,5130,6
VIA,SCROSATI LUIGI,9,6488,6
VLE,MONZA,311,2274,2
VIA,FONTANA,17,3058,1
VIA,TIZIANO VECELLIO,21,6380,8
VIA,TORINO,49,543,1
VIA,FOPPA VINCENZO,22,6109,7
VIA,WASHINGTON GIORGIO,104,6111,6
CSO,GARIBALDI GIUSEPPE,34,1010,1
VLE,MONTE NERO,71,3062,1
VIA,TERTULLIANO,37,4094,4
VIA,DE AMICIS EDMONDO,24,574,1
VIA,VERRO BERNARDINO,19,4223,5
VIA,NOVATI FRANCESCO,6,550,1
VIA,ARZAGA,24,6674,6
VIA,SANTA MARIA SEGRETA,6,624,1
CSO,BUENOS AIRES,10,2129,3
CSO,COLOMBO CRISTOFORO,5,5114,6
VIA,DELLA MOSCOVA,46,1016,1
VIA,FRIULI,34,3199,4
VIA,CAMINADELLA,2,551,1
VIA,MASANIELLO,14,6768,7
VIA,CARNEVALI ANTONIO,113,1268,9
VIA,INGANNI ANGELO,81,6672,6
VIA,BORSIERI PIETRO,29,1128,9
PLE,ISTRIA,1,1347,9
VIA,IMBONATI CARLO,67,1311,9
VIA,MAROCHETTI CARLO,19,4185,4
VIA,PARMIGIANINO,16,6599,7
VIA,MECENATE,25,3323,4
VIA,VIGEVANO,45,5116,6
CSO,LODI,7,4068,4
VIA,VARCHI BENEDETTO,4,1252,9
CSO,BUENOS AIRES,60,2129,3
VIA,BERGAMINI,5,325,1
VIA,RAVIZZA CARLO,21,6285,7
VLE,SAURO NAZARIO,5,1175,2
VIA,ASTESANI ALESSANDRO,42,1558,9
VIA,PADOVA,286,2275,2
VIA,FARAVELLI LUIGI GIUSEPPE,18,7162,8
VIA,NOVARA,123,6624,7
VIA,CALZECCHI TEMISTOCLE,2,3241,3
VIA,DELL' ORSO,20,123,1
CSO,VENEZIA,18,238,1
VIA,VERDI GIUSEPPE,6,118,1
VIA,HUGO VICTOR,4,548,1
VLE,PISA,4,6615,7
VIA,MATTEUCCI CARLO,4,2167,3
VLE,PREMUDA,44,3063,4
VIA,USSI STEFANO,1,1437,9
VIA,LIPARI,2,6203,7
VIA,DURANDO GIOVANNI,8,1466,9
VIA,FESTA DEL PERDONO,12,327,1
VIA,CARMAGNOLA,5,1129,9
VIA,SANZIO RAFFAELLO,16,6283,7
VIA,POLIZIANO,7,7196,8
VIA,CAPPONI PIER LUIGI,1,6249,7
VLE,MONTE GRAPPA,6,1101,9
VLE,ZARA,118,1170,2
VIA,VIGEVANO,3,5116,6
VIA,BESSARIONE,30,4152,4
VIA,CUSANI,10,719,1
VIA,ALSERIO,15,1153,9
VIA,SPERONARI,3,517,1
VLE,ESPINASSE CARLO,5,7390,8
VIA,SPAVENTA SILVIO,1,5255,5
VIA,VENEZIA GIULIA,16,7500,8
VIA,TIRABOSCHI GEROLAMO,15,4072,4
VIA,GROSSICH ANTONIO,2,2576,3
VLE,MONZA,101,2274,2
VIA,CENISIO,23,7184,8
LGO,ZANDONAI RICCARDO,3,6485,8
VIA,DEL DON,1,596,1
PZA,SAN MARCO,1,1040,1
VIA,VENIERO SEBASTIANO,48,6423,8
VIA,CALZOLARI ICILIO,1,5468,5
VIA,DONIZETTI GAETANO,8,3030,1
VIA,GIANELLA GIUSEPPE,26,6775,7
VIA,PIERO DELLA FRANCESCA,38,7188,8
RIP,DI PTA TICINESE,17,5150,6
VIA,VOLTRI,6,5354,6
VIA,CAPECELATRO ALFONSO,75,6575,7
PZA,AMENDOLA GIOVANNI,1,6363,7
GLL,BUENOS AIRES,11,2146,3
VIA,MEUCCI ANTONIO,2,2497,2
VIA,GIOIA MELCHIORRE,137,1108,2
VIA,TORINO,61,543,1
VLE,CERTOSA,147,7174,8
VIA,BERGAMO,27,3189,4
VIA,CURIO DENTATO,11,5386,6
CSO,SEMPIONE,34,7137,8
VIA,FARUFFINI FEDERICO,4,6286,7
LGO,SCALABRINI GIOVANNI BATTISTA,2,5392,6
VIA,CARONCINI ALBERTO,1,4093,4
VIA,MACCHI MAURO,44,2133,2
CSO,MAGENTA,85,604,1
VIA,PIRELLI GIOVANNI BATTISTA,11,1195,2
VIA,ORIANI BARNABA,83,7406,8
VLE,CORSICA,12,3262,4
VIA,CACCIALEPORI,4,6557,7
VIA,F.LLI RIZZARDI,12,6736,8
VIA,GIORGI FERDINANDO,15,6743,8
VIA,LOMELLINA,14,3280,4
VIA,LODOVICO IL MORO,147,5290,6
VIA,CANONICA LUIGI,64,7121,1
VIA,MONTI VINCENZO,54,6155,1
VIA,MAMBRETTI ANTONIO,24,7455,8
VIA,SAN VIGILIO,45,5424,6
VIA,FARNETI RODOLFO,14,2169,3
VIA,GALLARATE,131,7420,8
VIA,PARINI GIUSEPPE,5,1049,1
VIA,SFORZA ASCANIO,11,5201,5
VIA,SAMMARTINI GIOVANNI BATTISTA,41,1202,2
VIA,DALMAZIA,2,3363,4
VIA,PASCOLI GIOVANNI,15,3132,3
GLL,DEL CORSO,4,305,1
VIA,ROSSI PELLEGRINO,85,1510,9
VIA,COMELICO,18,3195,4
VIA,SAN GALDINO,5,7215,8
VIA,CENISIO,42,7184,8
VIA,STEPHENSON GIORGIO,2,7456,8
VIA,CIVITALI MATTEO,41,6569,7
VIA,LECCO,3,2110,3
ALZ,NAVIGLIO GRANDE,34,5144,6
VIA,BASSINI EDOARDO,31,2587,3
VIA,CASATI FELICE,23,2122,3
VIA,MARCHIONNI CARLOTTA,3,1658,9
VIA,BROLETTO,26,720,1
VIA,TRINCEA DELLE FRASCHE,2,5173,5
VIA,SANZIO RAFFAELLO,12,6283,7
CSO,VENEZIA,15,238,1
VIA,MELZO,16,2184,3
VIA,PARETO VILFREDO,7,7440,8
CSO,MAGENTA,9,604,1
VIA,BINDA AMBROGIO,3,5298,6
VIA,PECCHIO GIUSEPPE,1,2240,3
VIA,FUMAGALLI ANGELO CARLO,1,5149,6
VIA,BIZZONI ACHILLE,7,1359,2
VLE,ESPINASSE CARLO,30,7390,8
VIA,S. GIOV. SUL MURO,9,609,1
CSO,SEMPIONE,76,7137,8
PZA,OTTO NOVEMBRE,6,2187,3
VIA,LAGRANGE GIUSEPPE,15,5205,5
VLE,UMBRIA,66,3145,4
CSO,COMO,5,1111,9
CSO,DI PORTA VIGENTINA,33,4026,1
PLE,LUGANO,35,1238,9
VIA,GROSOTTO,3,7328,8
VIA,DELLE FORZE ARMATE,358,6643,7
VIA,REMBRANDT,67,6618,7
VIA,ARNABOLDI ALESSANDRO,12,7171,8
VIA,SALASCO,34,4051,5
VIA,GALLI DINA,4,1162,9
VIA,TEODOSIO,92,2550,3
VLE,CALDARA EMILIO,30,4036,1
VIA,LIPPI FILIPPINO,7,2196,3
VIA,DELL' ANNUNCIATA,2,140,1
CSO,DI PORTA ROMANA,107,402,1
VLE,CA' GRANDA,2,1443,9
PZA,GARIBALDI ANITA,9,6786,7
VLE,CERTOSA,303,7174,8
VIA,MORIGI,15,633,1
VIA,VENINI GIULIO E CORRADO,86,2258,2
VIA,DI TOCQUEVILLE ALESSIO,11,1703,9
CSO,DI PORTA VIGENTINA,38,4026,1
VIA,CELESTINO IV,9,540,1
VLE,GIOVANNI DA CERMENATE,64,5261,5
VIA,VITRUVIO,11,2134,3
VIA,CORSICO,3,5157,6
VIA,NOVARA,62,6624,7
VIA,LAGRANGE GIUSEPPE,10,5205,5
VLE,BRIANZA,36,2263,2
VIA,OZANAM FEDERICO,8,2143,3
VIA,WASHINGTON GIORGIO,56,6111,7
PLE,DI PORTA LODOVICA,6,4039,5
VIA,BOIARDO MATTEO MARIA,19,2323,2
VIA,PIERO DELLA FRANCESCA,20,7188,8
VIA,RISTORI ADELAIDE,2,3134,3
VIA,INGANNI ANGELO,29,6672,6
CSO,GARIBALDI GIUSEPPE,93,1010,1
VIA,CARDUCCI GIOSUE',9,602,1
VIA,ORTICA,1,3242,3
VIA,GRIGNA,9,7239,8
VIA,WATT GIACOMO,2,5292,6
ALZ,NAVIGLIO PAVESE,34,5161,6
CSO,SEMPIONE,23,7137,8
VIA,PERGOLESI GIOVANNI BATTISTA,25,2231,2
VIA,UNGARETTI GIUSEPPE,10,7545,8
VIA,VIGEVANO,13,5116,6
VIA,DELLE FORZE ARMATE,68,6643,7
VLE,CERTOSA,41,7174,8
PZA,DE ANGELI ERNESTO,7,6276,7
VIA,AMPERE ANDREA MARIA,57,2428,3
CSO,VENTIDUE MARZO,42,3074,4
VIA,MARATTA CARLO,3,6559,7
VLE,STELVIO,51,1227,9
VIA,PONTE SEVESO,30,1203,2
VIA,VITRUVIO,43,2134,2
VIA,PORPORA NICOLA ANTONIO,9,2229,3
VIA,FARA GUSTAVO,8,1183,2
FOR,BUONAPARTE,71,711,1
VIA,SAN GREGORIO,39,2123,2
VIA,ANFOSSI AUGUSTO,28,3071,4
VIA,GIOIA MELCHIORRE,67,1108,2
VIA,DELLE ANDE,16,7496,8
VLE,CATERINA DA FORLI',7,6611,6
VIA,FARA GUSTAVO,20,1183,2
VIA,BALESTRIERI DOMENICO,8,7116,1
VIA,SACCHINI ANTONIO GASPARE,1,2252,3
VLE,ABRUZZI,50,2177,3
VIA,PASSARELLA,4,298,1
VIA,ASIAGO,4,2459,2
VLE,ORIONE DON LUIGI,21,2378,2
VIA,VERGA ANDREA,16,6200,7
VIA,PISANI VITTOR,5,1201,2
VLE,MURILLO S.B.,1,6551,7
VIA,WASHINGTON GIORGIO,13,6111,7
VLE,SARCA,207,1427,9
VLE,SAN MICHELE DEL CARSO,6,6212,7
VIA,MEDA GIUSEPPE,60,5242,5
VIA,SISMONDI GIANCARLO,36,3256,4
VIA,VOLTA ALESSANDRO,17,1018,1
VIA,SPALLANZANI LAZZARO,6,2153,3
VIA,ROGOREDO,21,4373,4
VIA,POLLAIUOLO ANTONIO,3,1146,9
VIA,DOMOKOS,4,6630,7
VIA,TEGLIO,2,1229,9
VIA,BAZZINI ANTONIO,1,2427,3
VIA,PADOVA,64,2275,2
VIA,FRIULI,15,3199,4
VLE,PREMUDA,34,3063,4
VIA,DERNA,27,2376,2
GLL,UNIONE,4,510,1
VIA,MARCELLO BENEDETTO,10,2128,3
VIA,HUGO VICTOR,3,548,1
VIA,SERVIO TULLIO,4,6228,1
VIA,ROSSI PELLEGRINO,81,1510,9
VIA,BIELLA,26,5305,6
VIA,LARGA,8,318,1
VIA,MELLONI MACEDONIO,16,3085,4
PZA,MINNITI TITO,1,1133,9
VIA,DELLA CARITA',2,4083,4
PZA,GRECO,7,1417,2
VIA,SACCHI GIUSEPPE,6,716,1
VIA,DELLA MOSCOVA,13,1016,1
VLE,TESTI FULVIO,219,1441,9
VIA,BRIOSI GIOVANNI,12,3209,3
VIA,MASSARA DE CAPITANI,5,1261,9
VIA,VOLTURNO,46,1135,9
VLE,MOLISE,32,3178,4
VIA,REMBRANDT,12,6618,7
VIA,BUONARROTI MICHELANGELO,3,6253,7
VLE,PIAVE,7,2179,1
VIA,PREVIATI GAETANO,14,6384,7
VIA,SATTA SEBASTIANO,20,7352,8
CSO,ITALIA,31,526,1
VIA,BROLETTO,41,720,1
VIA,ANSELMO DA BAGGIO,14,6782,7
VIA,SAN PIETRO ALL'ORTO,9,213,1
VIA,CADOLINI GIOVANNI,39,4098,4
VIA,GARIGLIANO,8,1134,9
CSO,MONFORTE,39,348,1
VIA,COLONNA MARCO ANTONIO,53,7158,8
VIA,SAPETO GIUSEPPE,1,5163,1
VIA,STATUTO,4,1029,1
CSO,LODI,59,4068,4
VIA,FATEBENEFRATELLI,16,144,1
VIA,VAL D'INTELVI,14,6752,7
VIA,MURAT GIOACCHINO,2,1316,9
VIA,BASSINI EDOARDO,49,2587,3
VIA,JACOPINO DA TRADATE,11,7292,8
VLE,CONI ZUGNA,44,5110,6
FOR,BUONAPARTE,67,711,1
CSO,MAGENTA,87,604,1
VIA,CHIARELLI LUIGI,10,7519,8
VIA,ARCONATI COSTANZA,9,3211,4
VIA,SCIESA AMATORE,3,3072,4
VIA,OREFICI,2,547,1
VIA,MAC MAHON,88,7221,8
VIA,DELLA MOSCOVA,66,1016,1
PZA,DUCA D'AOSTA,14,1200,2
CSO,SEMPIONE,49,7137,8
VIA,CAPPELLINI ALFREDO,10,2130,2
VLE,FAMAGOSTA,50,5353,6
VIA,CANTONI GIOVANNI,12,6206,7
VIA,GRAZIOLI DON BARTOLOMEO,2,1473,9
VIA,ORIANI BARNABA,85,7406,8
VIA,TERRUGGIA GIOVANNI,26,1533,9
VIA,GALLARATE,113,7420,8
VIA,GROSSICH ANTONIO,29,2576,3
VIA,DELFICO MELCHIORRE,31,7250,8
VIA,DELLE FORZE ARMATE,9,6643,7
VIA,LONDONIO FRANCESCO,17,7134,8
VIA,OREFICI,26,547,1
VIA,GIAMBELLINO,128,5136,6
PZA,LEONARDO DA VINCI,10,2208,3
VLE,TIBALDI,5,5234,5
VLE,BLIGNY,50,4045,5
VIA,RONCAGLIA,3,6122,6
VIA,CAPRANICA LUIGI,18,2564,3
VIA,F.LLI ZOIA,43,6306,7
VIA,MAC MAHON,111,7221,8
VIA,DESIDERIO DA SETTIGNANO,14,6395,8
VIA,TORRAZZA,15,7360,8
VIA,VARE' GIOVANNI BATTISTA,32,1245,9
VIA,SIGHELE,2,3289,4
VIA,SANTA MARIA SEGRETA,6,624,1
VIA,MANZONI ALESSANDRO,40,230,1
VIA,CIVITALI MATTEO,21,6569,7
VIA,PALMANOVA,56,2390,3
VIA,PULCI LUIGI,13,1622,9
VIA,SALDINI CESARE,4,3206,3
VIA,COLONNA VITTORIA,45,6284,7
VIA,F.LLI ANTONA TRAVERSI,23,7354,8
VIA,MENOTTI CIRO,16,3184,3
VIA,TURATI FILIPPO,29,1053,1
VIA,MICHELINO DA BESOZZO,10,7263,8
VIA,MANUZIO ALDO,6,2114,2
VIA,SPARTACO,2,3186,4
VIA,SOLFERINO,48,1028,1
PZA,EMILIA,9,3113,4
VIA,SAN BARNABA,39,3010,1
VIA,ASTESANI ALESSANDRO,23,1558,9
PZA,DERGANO,9,1500,9
VIA,VIVAIO,20,3041,1
PZA,CARTAGINE,4,3327,4
VIA,PAISIELLO GIOVANNI,28,2245,3
VIA,WASHINGTON GIORGIO,82,6111,6
CSO,COLOMBO CRISTOFORO,4,5114,6
VIA,CARLONE CARLO ANTONIO,8,6846,7
VIA,BINDA AMBROGIO,19,5298,6
VIA,APPIANI ANDREA,9,1050,1
VLE,FAMAGOSTA,42,5353,6
PZA,OSPEDALE MAGGIORE,6,1523,9
VIA,FOSCOLO UGO,3,205,1
VIA,MEDA GIUSEPPE,38,5242,5
VIA,CASTEL MORRONE,19,3185,3
VIA,WASHINGTON GIORGIO,57,6111,7
VIA,BIZZONI ACHILLE,7,1359,2
VIA,SOMALIA,1,7436,8
PLE,VELASQUEZ DIEGO,9,6595,7
VIA,PADOVA,228,2275,2
CSO,BUENOS AIRES,90,2129,3
VIA,ROSSI PELLEGRINO,91,1510,9
VIA,SANTA RITA DA CASCIA,35,5301,6
VIA,MASACCIO,18,6420,8
VIA,DEI BOSSI,7,115,1
VIA,MANIAGO,17,2656,3
VIA,MADONNINA,21,134,1
VIA,BERGAMO,5,3189,4
VIA,RONCHI,13,2655,3
VIA,CENISIO,54,7184,8
PZA,GRECO,10,1417,2
VLE,LEGIONI ROMANE,55,6649,6
VIA,SETTEMBRINI LUIGI,33,2127,2
VIA,MARCONA,90,3080,4
CSO,LODI,2,4068,5
VIA,CAPPONI PIER LUIGI,4,6249,7
VIA,MONTEGANI LODOVICO,6,5330,5
VIA,DEL TURCHINO,21,3337,4
VIA,SOLFERINO,18,1028,1
CSO,VENTIDUE MARZO,48,3074,4
VLE,BLIGNY,39,4045,5
VIA,ARCHIMEDE,83,3086,4
VIA,FARINI CARLO,27,1114,9
VIA,CASALE,7,5118,6
VIA,CERVA,9,314,1
CSO,SAN GOTTARDO,2,5203,5
VIA,MARCELLO BENEDETTO,32,2128,3
VLE,CORSICA,12,3262,4
VIA,DELLA CHIESA ROSSA,53,5321,5
VIA,LODOVICO IL MORO,55,5290,6
VIA,TOLMEZZO,5,2392,3
VIA,OLGIATI FRANCESCO,25,5319,6
VIA,CASSINIS GIOVANNI BATTISTA,65,4309,4
VIA,CHOPIN FEDERICO,111,4297,5
VIA,LORENTEGGIO,141,5132,6
VIA,BRERA,32,122,1
VIA,CASORETTO,43,2420,3
VIA,MONTE ROSA,3,6388,7
VLE,MONTE NERO,31,3062,1
VIA,BASSINI EDOARDO,41,2587,3
VIA,GIOIA MELCHIORRE,123,1108,2
VIA,TITO LIVIO,7,4086,4
VLE,DELLE RIMEMBRANZE DI GRECO,10,1412,2
VIA,SARPI FRA' PAOLO,12,7210,8
CSO,DI PORTA NUOVA,46,1044,1
VIA,RIPAMONTI GIUSEPPE,244,4066,5
VIA,ORNATO LUIGI,56,1591,9
RIP,DI PTA TICINESE,97,5150,6
VIA,DEL CARAVAGGIO,12,6103,6
LGO,QUINTO ALPINI,7,6346,1
VIA,MONTE PALOMBINO,7,4368,4
VIA,DELLE PRIMULE,1,6716,6
ALZ,NAVIGLIO PAVESE,8,5161,6
VIA,F.LLI FRASCHINI,12,4355,5
VIA,RONCAGLIA,35,6122,6
VIA,BUONARROTI MICHELANGELO,5,6253,7
VIA,LOMELLINA,26,3280,4
VIA,TORRICELLI EVANGELISTA,1,5240,5
VIA,ALSERIO,3,1153,9
VIA,PONTACCIO,19,143,1
VIA,VIVIANI VINCENZO,2,1185,9
VLE,SUZZANI GIOVANNI,19,1446,9
VIA,SPARTACO,38,3186,4
VIA,GIOVANNI DA PROCIDA,21,7151,8
VIA,DELLE FORZE ARMATE,103,6643,7
VIA,PARINI GIUSEPPE,15,1049,1
VIA,FARA GUSTAVO,29,1183,9
VIA,VITTANI GIOVANNI,1,7350,8
CSO,DI PORTA ROMANA,46,402,1
VIA,MARCELLO BENEDETTO,93,2128,3
VIA,MONFALCONE,32,2538,3
