A,B,C,D,E
VIA,BOSCOVICH RUGGERO,61,2131,3
VIA,BRAMANTE,22,7123,1
VIA,BRA',2,2542,3
VIA,BREDA ERNESTO,122,2342,2
VIA,BREMBO,23,4219,5
VIA,BRERA,29,122,1
VIA,BRIOSCHI FRANCESCO,33,5243,5
VIA,BRIOSCHI FRANCESCO,41,5243,5
VIA,BROFFERIO ANGELO,1,1465,9
VIA,BROGLIO EMILIO,19,1246,9
VIA,BROGLIO EMILIO,25,1246,9
VIA,BROGLIO EMILIO,28,1246,9
VIA,BROLETTO,18,720,1
VIA,BROLETTO,43,720,1
VIA,BRONZINO,21,2191,3
VIA,BRUNO CASSINARI,11,4386,4
VIA,BRUSCHETTI GIUSEPPE,11,1285,2
VIA,BRUSUGLIO,66,1550,9
VIA,BRUZZESI GIACINTO,25,5388,6
VIA,BUCCINASCO,45,5362,6
VIA,BUGATTI ETTORE,1,4353,5
VIA,BUONARROTI MICHELANGELO,11,6253,7
VIA,BUONARROTI MICHELANGELO,15,6253,7
VIA,BURLAMACCHI FRANCESCO,16,4077,4
VIA,BUSONI FERRUCCIO,12,3222,4
VIA,CADIBONA,16,3339,4
VIA,CADIBONA,1,3339,4
VIA,CADIBONA,1,3339,4
VIA,CADORE,37,3077,4
VIA,CALDERA,21,6302,7
VLE,GRAN SASSO,5,2243,3
VIA,CAMINADELLA,2,551,1
VIA,CANDIANI GIUSEPPE,124,1242,9
VIA,CANDIANI GIUSEPPE,85,1242,9
VIA,CANONICA LUIGI,25,7121,1
VIA,CANONICA LUIGI,6,7121,1
VIA,CAPECELATRO ALFONSO,23,6575,7
VIA,CAPECELATRO ALFONSO,61,6575,7
VIA,CAPECELATRO ALFONSO,81,6575,7
VIA,CAPECELATRO ALFONSO,87,6575,7
VIA,CARADOSSO,18,6161,1
VIA,CARDINALE MEZZOFANTI,20,3277,4
VIA,CARDINAL FEDERICO,1,577,1
VIA,CARETTO AMINTO,6,1193,2
VIA,CARLI GIAN RINALDO,39,1563,9
VIA,CARMAGNOLA,13,1129,9
VIA,CARMAGNOLA,8,1129,9
VIA,CARONCINI ALBERTO,15,4093,4
VIA,CARPI EUGENIO,24,2557,3
VIA,CARROCCIO,3,5094,1
VIA,CASALE,3,5118,6
VIA,CASALE,4,5118,6
VIA,CASALE,5,5118,6
VIA,CASALE,5,5118,6
VIA,CASALE,5,5118,6
VIA,CASATI FELICE,22,2122,3
VIA,CASATI FELICE,25,2122,2
VIA,CASATI FELICE,29,2122,2
VIA,CASATI FELICE,44,2122,2
VIA,CASATI FELICE,45,2122,2
VIA,CASORETTO,9,2420,3
VIA,CASSINIS GIOVANNI BATTISTA,55,4309,4
VIA,CASTALDI PANFILO,18,2119,3
VIA,CASTALDI PANFILO,19,2119,3
VIA,CASTALDI PANFILO,19,2119,3
VIA,CASTALDI PANFILO,23,2119,3
VIA,CASTALDI PANFILO,26,2119,3
VIA,CASTALDI PANFILO,27,2119,3
VIA,CASTALDI PANFILO,27,2119,3
VIA,CASTALDI PANFILO,33,2119,3
VIA,CASTELBARCO GIAN CARLO,17,4201,5
VIA,CASTELVETRO LODOVICO,6,7195,8
VIA,CASTELVETRO LODOVICO,6,7195,8
VIA,CAVALCANTI GUIDO,4,2286,2
VIA,CAVIGLIA ENRICO,11,4198,4
VIA,CAVRIANA,7,3317,4
VIA,CECCHI ANTONIO,10,6257,7
VIA,CELIO,2,6623,7
VIA,CELLINI BENVENUTO,2,3081,4
VIA,CENISIO,10,7184,8
VIA,CENISIO,13,7184,8
VIA,CENISIO,37,7184,8
VIA,CENISIO,37,7184,8
VIA,CENISIO,50,7184,8
VIA,CENISIO,61,7184,8
VIA,CENISIO,74,7184,8
VIA,CENISIO,77,7184,8
VIA,PERINI CARLO,9,7326,8
VIA,CERANO,15,5128,6
VIA,CESARE DA SESTO,22,5101,1
VIA,CESARE DA SESTO,7,5101,1
VIA,CESARIANO CESARE,11,7113,1
VIA,CESARIANO CESARE,8,7113,1
VIA,CESAROTTI MELCHIORRE,2,2510,2
VIA,CESAROTTI MELCHIORRE,2,2510,2
VIA,CHAVEZ GIORGIO,18,2365,2
